YYYYMMDD          X(m)              Y(m)               Z(m)             NLat(deg)        Elong(deg)        Height(m) 
20200401    -3530185.83397     4118797.23621     3344036.72037    31.8240590785607    130.599596165343    314.654876647517 
20200402    -3530185.85988     4118797.22212     3344036.72872    31.8240591132332    130.599596469978    314.664516421966 
20200403    -3530185.83960     4118797.21829     3344036.72555    31.8240591655308    130.599596333666    314.649160358123 
20200404    -3530185.81151     4118797.19128     3344036.71308    31.824059254431    130.59959629405    314.609627598897 
20200405    -3530185.81150     4118797.18561     3344036.72044    31.8240593313288    130.599596332943    314.609845174477 
20200406    -3530185.79301     4118797.16341     3344036.68694    31.8240592120148    130.599596337253    314.56763435062 
20200407    -3530185.81413     4118797.17547     3344036.68527    31.8240590903168    130.599596423731    314.586212152615 
20200408    -3530185.78611     4118797.15065     3344036.68677    31.8240592781361    130.599596369623    314.555497501977 
20200409    -3530185.83995     4118797.17688     3344036.68677    31.8240590168166    130.599596621105    314.602189663798 
20200410    -3530185.84335     4118797.17268     3344036.69898    31.8240591150167    130.599596677241    314.607798579149 
20200411    -3530185.84478     4118797.17278     3344036.69400    31.8240590720718    130.599596688021    314.606027779169 
20200412    -3530185.78967     4118797.15286     3344036.67720    31.8240591858113    130.599596382983    314.553845333867 
20200413    -3530185.85386     4118797.18453     3344036.70139    31.8240590581731    130.599596680075    314.622525648214 
20200414    -3530185.80465     4118797.15978     3344036.68239    31.8240591542363    130.599596455551    314.569329456426 
20200415    -3530185.84419     4118797.19613     3344036.69401    31.824058989667    130.599596522793    314.620770719834 
20200416    -3530185.85082     4118797.17794     3344036.68861    31.8240589934497    130.599596700992    314.609854217619 
20200417    -3530185.82086     4118797.15263     3344036.68404    31.8240591425313    130.599596634694    314.574549959973 
20200418    -3530185.85344     4118797.18236     3344036.69217    31.824058996661    130.599596691623    314.616031648591 
20200419    -3530185.82037     4118797.15920     3344036.70182    31.8240592565626    130.599596585606    314.58789317403 
20200420    -3530185.80354     4118797.17724     3344036.68232    31.824059094094    130.599596326638    314.579942838289 
20200421    -3530185.80317     4118797.15673     3344036.68198    31.8240591666871    130.599596464646    314.566327245906 
20200422    -3530185.85036     4118797.20398     3344036.70164    31.8240590006938    130.599596518317    314.633270062506 
20200423    -3530185.85331     4118797.18854     3344036.69412    31.8240589896914    130.599596648102    314.620974959806 
20200424    -3530185.83450     4118797.17962     3344036.68898    31.824059040723    130.599596558565    314.602109173313 
20200425    -3530185.85362     4118797.18336     3344036.69265    31.8240589961713    130.599596686193    314.617029421963 
20200426    -3530185.85452     4118797.18442     3344036.69432    31.824059002355    130.599596686124    314.61909152288 
20200427    -3530185.83987     4118797.21501     3344036.71086    31.8240590639782    130.599596358377    314.639447386377 
20200428    -3530185.84129     4118797.20226     3344036.68560    31.8240589120681    130.599596457402    314.61868717242 
20200429    -3530185.81665     4118797.15807     3344036.68472    31.8240591411284    130.59959656354    314.57609019056 
20200430    -3530185.85673     4118797.19974     3344036.69854    31.8240589725368    130.599596598545    314.63242224697 
